epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,277.454,0.86904,0.70543,0.94494,0.92567,0.8102,0.87583,0.61348,0.71028,0.48317,0.89289,0.000550272,0.000550272,0.000550272
2,555.411,0.85074,0.50874,0.93862,0.88741,0.84744,0.8963,0.61105,0.74089,0.42935,0.89613,0.00109864,0.00109864,0.00109864
3,771.197,0.852,0.51244,0.9377,0.91685,0.83909,0.90082,0.5783,0.70474,0.41821,0.89396,0.00163967,0.00163967,0.00163967
4,1012.44,0.83455,0.50141,0.93731,0.94894,0.8392,0.9036,0.65318,0.66517,0.43071,0.87958,0.00163399,0.00163399,0.00163399
5,1090.55,0.80605,0.47335,0.93383,0.89697,0.85464,0.90175,0.67545,0.60099,0.38452,0.87092,0.00162299,0.00162299,0.00162299
6,1242.17,0.76082,0.44107,0.92327,0.88797,0.8444,0.89728,0.67619,0.58691,0.3743,0.86786,0.00161199,0.00161199,0.00161199
7,1430.6,0.75714,0.43315,0.91936,0.8686,0.83731,0.89916,0.65216,0.62995,0.43185,0.88266,0.00160099,0.00160099,0.00160099
8,1714.71,0.77773,0.48324,0.92026,0.92443,0.86056,0.90979,0.64812,0.59324,0.38157,0.86674,0.00158998,0.00158998,0.00158998
9,1808.85,0.73799,0.4264,0.91116,0.86197,0.86802,0.89982,0.66181,0.5793,0.35962,0.85899,0.00157898,0.00157898,0.00157898
10,1925.89,0.74429,0.41447,0.91128,0.92294,0.86151,0.91593,0.68009,0.576,0.35119,0.85839,0.00156798,0.00156798,0.00156798
11,2052.51,0.72465,0.4046,0.90573,0.89233,0.86607,0.90376,0.65127,0.69862,0.38866,0.88346,0.00155698,0.00155698,0.00155698
12,2372.93,0.72807,0.40218,0.90605,0.92057,0.86803,0.91679,0.67737,0.61466,0.35495,0.87098,0.00154598,0.00154598,0.00154598
13,2621.27,0.71798,0.38731,0.90219,0.94282,0.88146,0.92211,0.69418,0.54,0.32368,0.85298,0.00153497,0.00153497,0.00153497
14,2760.39,0.73341,0.39168,0.90577,0.94167,0.8679,0.92227,0.69691,0.56476,0.33194,0.86015,0.00152397,0.00152397,0.00152397
15,2940.41,0.68295,0.37261,0.89003,0.96578,0.86605,0.92668,0.697,0.53607,0.3224,0.8494,0.00151297,0.00151297,0.00151297
16,3184.39,0.67368,0.36836,0.89355,0.93528,0.87348,0.91078,0.68555,0.56985,0.3433,0.85903,0.00150197,0.00150197,0.00150197
17,3401.81,0.69347,0.3774,0.89276,0.94717,0.87895,0.92521,0.70543,0.55901,0.3313,0.85656,0.00149096,0.00149096,0.00149096
18,3568.39,0.68871,0.36443,0.89252,0.93256,0.85632,0.91955,0.69883,0.53711,0.31354,0.85111,0.00147996,0.00147996,0.00147996
19,3723.47,0.67829,0.36557,0.89253,0.96366,0.84974,0.9284,0.68862,0.59588,0.33645,0.86936,0.00146896,0.00146896,0.00146896
20,3867.37,0.68838,0.3653,0.89083,0.9356,0.8827,0.92785,0.70047,0.52693,0.31488,0.85155,0.00145796,0.00145796,0.00145796
21,4102.55,0.66123,0.35248,0.88192,0.94438,0.86409,0.92618,0.702,0.55644,0.32576,0.85684,0.00144696,0.00144696,0.00144696
22,4698.94,0.65538,0.3455,0.88455,0.93111,0.87061,0.92993,0.69768,0.53047,0.31107,0.85414,0.00143595,0.00143595,0.00143595
23,5080.83,0.68816,0.35821,0.89151,0.9442,0.85763,0.92451,0.70033,0.5621,0.31625,0.85368,0.00142495,0.00142495,0.00142495
24,5257.5,0.64727,0.34002,0.87893,0.95664,0.86137,0.92391,0.69737,0.53561,0.30834,0.85266,0.00141395,0.00141395,0.00141395
25,5491.91,0.65384,0.34474,0.88155,0.91614,0.89066,0.92754,0.68128,0.54181,0.3159,0.85588,0.00140295,0.00140295,0.00140295
26,5636.87,0.65063,0.33933,0.87941,0.95661,0.88959,0.93403,0.70972,0.52546,0.30474,0.84734,0.00139195,0.00139195,0.00139195
27,5790.92,0.67312,0.35228,0.88466,0.92073,0.88424,0.9149,0.68487,0.5701,0.31528,0.85771,0.00138094,0.00138094,0.00138094
28,5943.9,0.65547,0.34185,0.87642,0.92394,0.89813,0.9248,0.69879,0.52983,0.29888,0.85301,0.00136994,0.00136994,0.00136994
29,6056.39,0.64032,0.33093,0.87264,0.9534,0.87139,0.92701,0.70886,0.53359,0.29894,0.85092,0.00135894,0.00135894,0.00135894
30,6304.23,0.6387,0.32998,0.87387,0.97401,0.86274,0.919,0.68858,0.54572,0.30326,0.85114,0.00134794,0.00134794,0.00134794
31,6500.84,0.61414,0.32302,0.8693,0.92212,0.88821,0.93379,0.72029,0.52709,0.29644,0.85328,0.00133693,0.00133693,0.00133693
32,6687.42,0.62239,0.33287,0.87688,0.93564,0.88503,0.92717,0.69846,0.53282,0.31286,0.85271,0.00132593,0.00132593,0.00132593
33,6822.23,0.63456,0.34003,0.87197,0.96456,0.88932,0.92816,0.71795,0.52619,0.30658,0.84756,0.00131493,0.00131493,0.00131493
34,6942.96,0.64491,0.33534,0.87744,0.93811,0.88038,0.92776,0.70914,0.54566,0.30206,0.85237,0.00130393,0.00130393,0.00130393
35,7174.1,0.6457,0.33275,0.87472,0.95194,0.88678,0.93264,0.72821,0.52282,0.29537,0.84822,0.00129293,0.00129293,0.00129293
36,7262.71,0.62952,0.32246,0.86808,0.94355,0.89167,0.93359,0.70364,0.52455,0.29322,0.84994,0.00128192,0.00128192,0.00128192
37,7334.85,0.61475,0.31934,0.87172,0.94031,0.87612,0.91112,0.6968,0.53973,0.30186,0.85011,0.00127092,0.00127092,0.00127092
38,7516.47,0.63611,0.32573,0.87275,0.94366,0.87347,0.92136,0.71831,0.51103,0.30192,0.84596,0.00125992,0.00125992,0.00125992
39,7756.87,0.60608,0.31366,0.86863,0.95962,0.887,0.93508,0.7108,0.53623,0.29406,0.85045,0.00124892,0.00124892,0.00124892
40,7933.36,0.61455,0.31642,0.86865,0.98004,0.84778,0.93089,0.71261,0.5182,0.28987,0.84773,0.00123791,0.00123791,0.00123791
41,8017.09,0.62886,0.32037,0.87212,0.96406,0.87134,0.93397,0.71308,0.51945,0.29381,0.84881,0.00122691,0.00122691,0.00122691
42,8166.81,0.6108,0.3099,0.86847,0.94035,0.8891,0.93753,0.71448,0.51033,0.28668,0.84725,0.00121591,0.00121591,0.00121591
