epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.3069,0.89402,0.64392,0.95315,0.90201,0.75923,0.83519,0.56499,0.73716,0.508,0.90175,0.000551326,0.000551326,0.000551326
2,77.8353,0.88443,0.63382,0.94977,0.9282,0.72384,0.82889,0.55572,0.75197,0.53576,0.9065,0.00108507,0.00108507,0.00108507
3,85.9574,0.91845,0.63292,0.94764,0.89584,0.76059,0.83304,0.55668,0.78026,0.55941,0.91958,0.00159682,0.00159682,0.00159682
4,93.9487,0.91447,0.62031,0.94922,0.86451,0.79046,0.82322,0.54985,0.79699,0.53623,0.91517,0.00156798,0.00156798,0.00156798
5,101.865,0.90164,0.6111,0.94791,0.91926,0.7742,0.84255,0.55344,0.79805,0.5227,0.92348,0.00153497,0.00153497,0.00153497
6,109.561,0.92103,0.60279,0.95727,0.93519,0.75246,0.83247,0.53634,0.7773,0.52124,0.91428,0.00150197,0.00150197,0.00150197
7,117.43,0.89922,0.59337,0.95058,0.88692,0.77227,0.83546,0.56613,0.7692,0.48132,0.91252,0.00146896,0.00146896,0.00146896
8,125.578,0.88201,0.57596,0.94157,0.86138,0.80704,0.84356,0.55539,0.7971,0.51365,0.93276,0.00143595,0.00143595,0.00143595
9,133.517,0.89569,0.57883,0.94835,0.92262,0.77329,0.83723,0.55698,0.82414,0.53004,0.93175,0.00140295,0.00140295,0.00140295
10,141.249,0.8803,0.5645,0.94178,0.92268,0.75543,0.85215,0.57124,0.76484,0.49465,0.91229,0.00136994,0.00136994,0.00136994
11,149.014,0.85733,0.54678,0.9368,0.82347,0.75476,0.81979,0.54567,0.75417,0.49521,0.90465,0.00133693,0.00133693,0.00133693
12,156.975,0.86863,0.5477,0.93937,0.94012,0.76856,0.84079,0.55191,0.79982,0.4913,0.91261,0.00130393,0.00130393,0.00130393
13,164.866,0.87846,0.54806,0.94471,0.85708,0.74291,0.78788,0.54221,0.77242,0.48628,0.9128,0.00127092,0.00127092,0.00127092
14,172.48,0.86046,0.54395,0.93853,0.92419,0.77112,0.84991,0.5543,0.76741,0.47003,0.91739,0.00123791,0.00123791,0.00123791
15,180.395,0.879,0.54957,0.94496,0.84835,0.83936,0.86225,0.5703,0.76266,0.48495,0.91333,0.00120491,0.00120491,0.00120491
16,188.156,0.85994,0.5297,0.94452,0.89207,0.78342,0.84592,0.56456,0.76048,0.48802,0.91467,0.0011719,0.0011719,0.0011719
17,196.127,0.85761,0.52843,0.93081,0.85627,0.81155,0.84612,0.56105,0.77922,0.47467,0.91331,0.00113889,0.00113889,0.00113889
18,204.261,0.85431,0.53068,0.92353,0.87463,0.78084,0.82292,0.5547,0.78867,0.47786,0.91709,0.00110589,0.00110589,0.00110589
19,212.067,0.83623,0.50113,0.92093,0.89561,0.75818,0.84554,0.56408,0.76784,0.47444,0.90524,0.00107288,0.00107288,0.00107288
20,219.873,0.84422,0.5063,0.92939,0.85729,0.7841,0.83939,0.56064,0.75496,0.45691,0.915,0.00103987,0.00103987,0.00103987
